source_file,errors,contrast_errors,alerts,features,structure,aria,aim_score,pour_perceivable,pour_operable,pour_understandable,pour_robust,sr_critical,sr_high,sr_medium,sr_low
1-GovernoDigital.html,11,0,33,118,112,352,7.7,12,16,2,4,2,2,28,0
2-EstrategiasEGovernanca.html,5,1,16,107,91,237,8.5,3,10,2,4,2,0,14,1
3-TransformacaoDigital.html,5,10,20,107,90,248,7.8,2,10,2,4,2,0,14,0
4-CentralDeQualidade.html,5,10,16,110,99,240,7.9,2,10,2,4,2,0,14,0
5-PainelDeMonitoramento.html,5,9,16,107,92,236,7.9,2,11,3,4,2,0,15,0
