source_file,errors,contrast_errors,alerts,features,structure,aria,aim_score,pour_perceivable,pour_operable,pour_understandable,pour_robust,sr_critical,sr_high,sr_medium,sr_low
1-ReceitaFederal.html,17,8,40,132,125,286,7,2,32,0,4,2,0,36,0
2-AtendimentoPresencial.html,5,0,20,113,108,232,8.4,7,8,0,4,2,0,10,7
3-UnidadesMinasGerais.html,5,0,20,113,109,232,9,7,8,0,4,2,0,10,7
4-UnidadesBeloHorizonte.html,5,0,13,111,103,241,9.1,1,8,0,4,2,0,11,0
5-UnidadesDeAtendimento.html,6,11,28,3,16,0,5.6,3,9,1,0,2,1,10,0
