source_file,category,category_label,type_id,type_label,type_count,instance_index,hidden,description,label
wave-example-2.html,structure,Structural Elements,iframe,Inline frame,1,1,false,Inline frame 1,Inline frame
wave-example-2.html,structure,Structural Elements,header,Header,1,1,false,Header 1,Header
wave-example-2.html,structure,Structural Elements,nav,Navigation,4,1,true,Navigation 1,Navigation
wave-example-2.html,structure,Structural Elements,nav,Navigation,4,2,true,Navigation 2,Navigation
wave-example-2.html,structure,Structural Elements,nav,Navigation,4,3,false,Navigation 3,Navigation
wave-example-2.html,structure,Structural Elements,nav,Navigation,4,4,false,Navigation 4,Navigation
wave-example-2.html,structure,Structural Elements,search,Search,1,1,true,Search 1,Search
wave-example-2.html,structure,Structural Elements,main,Main content,1,1,false,Main content 1,Main content
wave-example-2.html,structure,Structural Elements,footer,Footer,1,1,false,Footer 1,Footer
wave-example-2.html,aria,ARIA,aria,ARIA,12,1,true,ARIA 1,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,2,true,ARIA 2,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,3,false,ARIA 3,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,4,false,ARIA 4,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,5,false,ARIA 5,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,6,false,ARIA 6,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,7,false,ARIA 7,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,8,false,ARIA 8,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,9,false,ARIA 9,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,10,false,ARIA 10,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,11,false,ARIA 11,ARIA
wave-example-2.html,aria,ARIA,aria,ARIA,12,12,true,ARIA 12,ARIA
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,1,true,ARIA label 1,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,2,true,ARIA label 2,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,3,true,ARIA label 3,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,4,true,ARIA label 4,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,5,true,ARIA label 5,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,6,true,ARIA label 6,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,7,true,ARIA label 7,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,8,true,ARIA label 8,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,9,true,ARIA label 9,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,10,true,ARIA label 10,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,11,true,ARIA label 11,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,12,false,ARIA label 12,ARIA label
wave-example-2.html,aria,ARIA,aria_label,ARIA label,13,13,false,ARIA label 13,ARIA label
wave-example-2.html,aria,ARIA,aria_tabindex,ARIA tabindex,1,1,false,ARIA tabindex 1,ARIA tabindex
wave-example-2.html,aria,ARIA,aria_live_region,ARIA alert or live region,1,1,true,ARIA alert or live region 1,ARIA alert or live region
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,1,false,ARIA button 1,ARIA button
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,2,false,ARIA button 2,ARIA button
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,3,false,ARIA button 3,ARIA button
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,4,false,ARIA button 4,ARIA button
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,5,false,ARIA button 5,ARIA button
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,6,false,ARIA button 6,ARIA button
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,7,false,ARIA button 7,ARIA button
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,8,false,ARIA button 8,ARIA button
wave-example-2.html,aria,ARIA,aria_button,ARIA button,9,9,false,ARIA button 9,ARIA button
wave-example-2.html,aria,ARIA,aria_hidden,ARIA hidden,8,1,false,ARIA hidden 1,ARIA hidden
wave-example-2.html,aria,ARIA,aria_hidden,ARIA hidden,8,2,false,ARIA hidden 2,ARIA hidden
wave-example-2.html,aria,ARIA,aria_hidden,ARIA hidden,8,3,false,ARIA hidden 3,ARIA hidden
wave-example-2.html,aria,ARIA,aria_hidden,ARIA hidden,8,4,false,ARIA hidden 4,ARIA hidden
wave-example-2.html,aria,ARIA,aria_hidden,ARIA hidden,8,5,false,ARIA hidden 5,ARIA hidden
wave-example-2.html,aria,ARIA,aria_hidden,ARIA hidden,8,6,false,ARIA hidden 6,ARIA hidden
wave-example-2.html,aria,ARIA,aria_hidden,ARIA hidden,8,7,false,ARIA hidden 7,ARIA hidden
wave-example-2.html,aria,ARIA,aria_hidden,ARIA hidden,8,8,false,ARIA hidden 8,ARIA hidden
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,1,true,ARIA expanded 1,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,2,false,ARIA expanded 2,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,3,false,ARIA expanded 3,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,4,false,ARIA expanded 4,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,5,false,ARIA expanded 5,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,6,false,ARIA expanded 6,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,7,false,ARIA expanded 7,ARIA expanded
