source_file,errors,contrast_errors,alerts,features,structure,aria,aim_score,pour_perceivable,pour_operable,pour_understandable,pour_robust,sr_critical,sr_high,sr_medium,sr_low
1-GovernoDigital.html,11,0,31,118,113,318,7.7,11,16,2,4,2,2,27,0
2-EstrategiasEGovernanca.html,5,1,16,107,92,237,8.4,3,10,2,4,2,0,14,1
3-TransformacaoDigital.html,5,10,20,107,91,248,7.8,2,10,2,4,2,0,14,0
4-CentralDeQualidade.html,5,10,16,110,100,240,7.8,2,10,2,4,2,0,14,0
5-PainelDeMonitoramento.html,5,9,16,107,93,236,7.8,2,11,3,4,2,0,15,0
