source_file,errors,contrast_errors,alerts,features,structure,aria,aim_score,pour_perceivable,pour_operable,pour_understandable,pour_robust,sr_critical,sr_high,sr_medium,sr_low
1-Ibge.html,7,18,33,25,72,85,6.2,8,2,2,1,4,4,3,0
2-ResultadosCenso2022.html,38,60,85,26,60,67,3.9,14,5,0,1,14,0,6,0
