source_file,category,category_label,type_id,type_label,type_count,wcag_criteria,wcag_level,pour_dimensions,sr_relevance,instance_index,hidden,description,label
1-Ibge.html,error,Errors,alt_missing,Missing alternative text,1,1.1.1,A,Perceivable,critical,1,true,Missing alternative text 1,Missing alternative text
1-Ibge.html,error,Errors,alt_link_missing,Linked image missing alternative text,1,1.1.1,A,Perceivable,critical,1,false,Linked image missing alternative text 1,Linked image missing alternative text
1-Ibge.html,error,Errors,label_missing,Missing form label,2,1.3.1;3.3.2,A,Perceivable;Understandable,critical,1,false,Missing form label 1,Missing form label
1-Ibge.html,error,Errors,label_missing,Missing form label,2,1.3.1;3.3.2,A,Perceivable;Understandable,critical,2,false,Missing form label 2,Missing form label
1-Ibge.html,error,Errors,label_empty,Empty form label,1,1.3.1,A,Perceivable,high,1,true,Empty form label 1,Empty form label
1-Ibge.html,error,Errors,label_multiple,Multiple form labels,2,1.3.1,A,Perceivable,high,1,false,Multiple form labels 1,Multiple form labels
1-Ibge.html,error,Errors,label_multiple,Multiple form labels,2,1.3.1,A,Perceivable,high,2,true,Multiple form labels 2,Multiple form labels
1-Ibge.html,contrast,Contrast Errors,unknown,Very low contrast,18,,,,,,,,
1-Ibge.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,8,,,,,1,false,A nearby image has the same alternative text 1,A nearby image has the same alternative text
1-Ibge.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,8,,,,,2,false,A nearby image has the same alternative text 2,A nearby image has the same alternative text
1-Ibge.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,8,,,,,3,false,A nearby image has the same alternative text 3,A nearby image has the same alternative text
1-Ibge.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,8,,,,,4,false,A nearby image has the same alternative text 4,A nearby image has the same alternative text
1-Ibge.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,8,,,,,5,false,A nearby image has the same alternative text 5,A nearby image has the same alternative text
1-Ibge.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,8,,,,,6,false,A nearby image has the same alternative text 6,A nearby image has the same alternative text
1-Ibge.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,8,,,,,7,false,A nearby image has the same alternative text 7,A nearby image has the same alternative text
1-Ibge.html,alert,Alerts,alt_duplicate,A nearby image has the same alternative text,8,,,,,8,false,A nearby image has the same alternative text 8,A nearby image has the same alternative text
1-Ibge.html,alert,Alerts,heading_skipped,Skipped heading level,1,1.3.1,A,Perceivable,high,1,false,Skipped heading level 1,Skipped heading level
1-Ibge.html,alert,Alerts,heading_possible,Possible heading,12,,,,,1,false,Possible heading 1,Possible heading
1-Ibge.html,alert,Alerts,heading_possible,Possible heading,12,,,,,2,false,Possible heading 2,Possible heading
1-Ibge.html,alert,Alerts,heading_possible,Possible heading,12,,,,,3,false,Possible heading 3,Possible heading
1-Ibge.html,alert,Alerts,heading_possible,Possible heading,12,,,,,4,false,Possible heading 4,Possible heading
1-Ibge.html,alert,Alerts,heading_possible,Possible heading,12,,,,,5,false,Possible heading 5,Possible heading
1-Ibge.html,alert,Alerts,heading_possible,Possible heading,12,,,,,6,false,Possible heading 6,Possible heading
